cycle,mean,median,max,min,std
131,60.39,60.55,65.00,54.95,2.99
132,59.74,59.67,77.41,48.00,7.15
133,57.57,59.18,65.33,48.00,5.35
134,62.65,64.16,69.62,51.50,4.96
135,62.19,63.25,72.62,50.82,7.06
136,60.26,61.12,72.15,51.50,6.12
137,62.19,60.00,76.20,55.00,7.28
138,60.65,59.95,71.14,48.53,6.03
139,61.53,61.09,76.64,52.90,6.92
140,61.75,60.79,75.14,55.10,5.70
141,60.64,58.33,71.81,48.37,7.12
142,56.99,58.73,64.17,47.60,5.62
143,55.68,59.52,63.40,42.50,7.41
144,57.47,57.91,63.82,49.61,4.44
145,56.18,57.18,65.00,45.20,7.03
146,60.07,59.98,70.25,47.68,6.27
147,60.89,60.32,70.48,56.33,4.48
148,58.71,58.22,72.14,50.29,6.09
149,57.55,56.98,67.58,44.67,5.91
150,56.17,54.84,62.83,49.33,4.42
151,57.15,57.37,63.05,50.00,4.50
152,59.27,56.31,72.40,52.29,7.61
153,62.30,64.41,72.25,44.68,8.43
154,58.96,57.65,75.60,49.00,8.46
155,61.30,62.38,69.90,49.40,6.75
156,61.08,60.64,76.11,47.91,9.31
157,61.68,61.75,79.00,49.23,7.61
158,59.71,59.21,69.00,49.05,5.68
159,58.75,58.84,69.77,51.36,5.70
160,60.11,60.64,68.82,51.31,5.76
161,61.39,61.66,74.53,48.09,6.15
162,62.14,62.12,69.22,54.68,5.32
163,61.79,62.03,72.56,48.62,6.81
164,61.75,61.05,72.00,48.25,6.43
165,58.99,60.11,72.00,45.16,8.27
